,city,latitude,longitude,max_temp,humidity,cloud_cover,wind_speed,country,date
0,Kingisepp,58.920000000076186,28.539999999810334,32.9,93.0,99.0,5.64,RU,2021-04-24 01:47:24
1,Provideniya,53.36000000007334,-176.99000000000274,39.97,59.0,13.0,4.5,RU,2021-04-24 01:47:25
2,Negru voda,43.61000000006834,28.219999999810625,45.0,93.0,0.0,3.44,RO,2021-04-24 01:47:25
3,Paamiut,55.70000000007454,-50.550000000117734,32.11,77.0,2.0,4.52,GL,2021-04-24 01:37:53
4,Barrow,84.17000000008909,-143.89000000003284,28.4,69.0,1.0,5.12,US,2021-04-24 01:43:14
5,Huaihua,27.510000000060117,109.70999999973651,65.62,96.0,100.0,4.07,CN,2021-04-24 01:47:26
6,Mumford,3.8100000000479923,-1.6370904631912708e-10,81.0,85.0,100.0,9.91,GH,2021-04-24 01:47:26
7,Pacific grove,30.610000000061703,-131.3900000000442,57.0,86.0,44.0,6.96,US,2021-04-24 01:41:16
8,Punta arenas,-69.77999999998966,-112.36000000006152,42.8,93.0,40.0,3.44,CL,2021-04-24 01:47:20
9,Visnes,57.990000000075725,2.0499999998344265,41.0,70.0,75.0,16.11,NO,2021-04-24 01:47:26
10,Kieta,0.7900000000464473,160.27999999969052,84.24,67.0,61.0,5.08,PG,2021-04-24 01:42:48
11,Tiksi,82.24000000008812,127.0999999997207,16.84,81.0,100.0,14.03,RU,2021-04-24 01:47:27
12,Rikitea,-28.87999999996873,-140.99000000003548,79.03,72.0,100.0,16.31,PF,2021-04-24 01:41:18
13,Cape town,-63.89999999998665,-0.110000000163609,59.0,82.0,0.0,9.22,ZA,2021-04-24 01:46:40
14,Mar del plata,-46.48999999997774,-47.41000000012059,66.2,72.0,90.0,6.91,AR,2021-04-24 01:47:28
15,Prado,-17.729999999963027,-36.67000000013036,74.79,85.0,14.0,5.41,BR,2021-04-24 01:47:28
16,Mataura,-55.82999999998252,-149.85000000002742,50.0,84.0,99.0,11.99,NZ,2021-04-24 01:47:29
17,Atuona,9.990000000051154,-130.1900000000453,80.38,78.0,23.0,23.85,PF,2021-04-24 01:47:29
18,Bluff,-67.98999999998874,171.46999999968034,50.0,84.0,88.0,11.99,NZ,2021-04-24 01:43:58
19,La ligua,-32.27999999997047,-71.31000000009885,56.64,87.0,7.0,1.39,CL,2021-04-24 01:47:30
20,Dingle,50.43000000007186,-19.68000000014581,89.6,53.0,93.0,8.23,PH,2021-04-24 01:46:12
21,Lugovskoy,56.96000000007518,64.40999999977771,44.6,42.0,0.0,8.95,RU,2021-04-24 01:47:30
22,Lebu,-32.659999999970665,-100.1700000000726,52.45,91.0,79.0,7.38,CL,2021-04-24 01:47:31
23,Vao,-28.139999999968353,165.44999999968582,75.92,74.0,57.0,11.14,NC,2021-04-24 01:43:11
24,Butaritari,18.810000000055666,164.3599999996868,81.37,78.0,100.0,6.62,KI,2021-04-24 01:37:51
25,Ruiru,-1.1499999999545452,36.99999999980264,64.4,100.0,40.0,9.22,KE,2021-04-24 01:47:31
26,Arraial do cabo,-26.639999999967586,-36.48000000013053,73.72,77.0,61.0,11.74,BR,2021-04-24 01:47:32
27,Talcahuano,-30.629999999969627,-83.6800000000876,55.4,94.0,0.0,3.44,CL,2021-04-24 01:45:01
